qid,docid,llm_grade,systems,model
100_5,MARCO_2377798,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_5,MARCO_2722733,0,t5,gpt-4o-2024-08-06
100_5,MARCO_2793333,3,gpt-4o,gpt-4o-2024-08-06
100_5,MARCO_2964886,0,t5,gpt-4o-2024-08-06
100_5,MARCO_3503563,2,gpt-4o,gpt-4o-2024-08-06
100_5,MARCO_405944,3,gpt-4o-mini,gpt-4o-2024-08-06
100_5,MARCO_4546404,1,t5,gpt-4o-2024-08-06
100_5,MARCO_4634101,2,human,gpt-4o-2024-08-06
100_5,MARCO_5639247,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_5,MARCO_6562022,0,raw,gpt-4o-2024-08-06
100_5,MARCO_697973,0,raw,gpt-4o-2024-08-06
100_5,MARCO_7295154,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_5,MARCO_743310,2,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_5,MARCO_757965,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_5,MARCO_7843829,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_5,MARCO_7988371,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_5,MARCO_8426501,1,gpt-4o,gpt-4o-2024-08-06
100_5,MARCO_8433106,1,t5,gpt-4o-2024-08-06
100_5,MARCO_849335,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_6,CAR_e6b1532efa46f05d168bfce3825514216ef8afe7,0,t5,gpt-4o-2024-08-06
100_6,MARCO_1173633,3,t5,gpt-4o-2024-08-06
100_6,MARCO_2280400,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_6,MARCO_3145320,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_6,MARCO_3439161,1,gpt-4o,gpt-4o-2024-08-06
100_6,MARCO_5561851,0,t5,gpt-4o-2024-08-06
100_6,MARCO_5561854,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_6,MARCO_5803869,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_6,MARCO_5803871,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_6,MARCO_592564,0,t5,gpt-4o-2024-08-06
100_7,MARCO_1113527,1,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
100_7,MARCO_1173633,1,llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
100_7,MARCO_1297505,0,gpt-4o-mini,gpt-4o-2024-08-06
100_7,MARCO_1502448,0,quretec|raw,gpt-4o-2024-08-06
100_7,MARCO_2076506,0,gpt-4o-mini,gpt-4o-2024-08-06
100_7,MARCO_2653312,0,gpt-4o,gpt-4o-2024-08-06
100_7,MARCO_3125568,0,gpt-4o-mini,gpt-4o-2024-08-06
100_7,MARCO_3284808,0,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
100_7,MARCO_388283,0,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
100_7,MARCO_4306300,0,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
100_7,MARCO_4925535,0,quretec|raw,gpt-4o-2024-08-06
100_7,MARCO_5333270,1,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
100_7,MARCO_5721352,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_7,MARCO_5925012,2,gpt-4o,gpt-4o-2024-08-06
100_7,MARCO_592561,0,t5,gpt-4o-2024-08-06
100_7,MARCO_592564,0,t5,gpt-4o-2024-08-06
100_7,MARCO_6691166,0,gpt-4o-mini,gpt-4o-2024-08-06
100_7,MARCO_7907387,0,quretec|raw,gpt-4o-2024-08-06
100_7,MARCO_8321014,0,gpt-4o-mini,gpt-4o-2024-08-06
100_7,MARCO_8622326,0,gpt-4o-mini,gpt-4o-2024-08-06
100_7,MARCO_8815199,0,gpt-4o,gpt-4o-2024-08-06
100_8,CAR_115cd3884b195d3828e9f4982cf90b2d23dddf3a,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_2443971,0,gpt-4o,gpt-4o-2024-08-06
100_8,MARCO_2474025,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_2474026,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_2667683,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_3647636,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_8,MARCO_388285,0,gpt-4o,gpt-4o-2024-08-06
100_8,MARCO_3901113,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_451678,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_4552581,0,human,gpt-4o-2024-08-06
100_8,MARCO_475074,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_475079,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_475081,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_8,MARCO_4825439,0,gpt-4o,gpt-4o-2024-08-06
100_8,MARCO_5351654,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_5968754,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_6375256,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_8,MARCO_6375261,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_8,MARCO_6634714,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_7364371,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_7658946,0,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
100_8,MARCO_8471037,0,gpt-4o-mini,gpt-4o-2024-08-06
100_8,MARCO_972302,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_1,MARCO_4274656,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
101_1,MARCO_63946,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_14102597afea3233517bc0786cb56d0a2e1d67f7,0,t5,gpt-4o-2024-08-06
101_10,CAR_209bcebaca8605677b13edf815c61e6de3eda9e0,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_28c08f8183ee465c2b5a0db2ac51446521fb4b6a,0,raw,gpt-4o-2024-08-06
101_10,CAR_50b3a10ac67e9cd84f197b5f4e121a51fe4a6609,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_5d6d6aaa9b654ffec04ae1561b61e6eb8b440fab,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_6c3db83f961840515d204ed598971eb7e308b8f5,0,raw,gpt-4o-2024-08-06
101_10,CAR_7be27fdc7eb2568367791e80db70b619b3550d53,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_8533d59ae16459a55b3bc22ccc59c94a76e2152f,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_9ff65cabe1f78e695334fcb4774cc8ac9fc8351c,0,raw,gpt-4o-2024-08-06
101_10,CAR_a0a200c0bc27b12e2e78823cd53f3e166493fde6,0,raw,gpt-4o-2024-08-06
101_10,CAR_a0a7327ead900144f2b00034d60e15d9962a64bf,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,CAR_afbd7db27143afdeebdac51454cdfa80c11bd2a2,0,raw,gpt-4o-2024-08-06
101_10,CAR_cb157e886a00d93e600e1ee7f79f6b24023d79e6,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,CAR_cbc73e5252e914b46343f6fbf307bc521b1019b7,0,llama-3.3-70b-versatile|quretec,gpt-4o-2024-08-06
101_10,CAR_d60ca417734d4c7fc7233552fc5ea61ddc033c09,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,MARCO_104277,0,raw,gpt-4o-2024-08-06
101_10,MARCO_1061743,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_10,MARCO_2158382,0,quretec,gpt-4o-2024-08-06
101_10,MARCO_2227473,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_10,MARCO_2609491,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_2615650,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_306711,0,raw,gpt-4o-2024-08-06
101_10,MARCO_3948439,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,MARCO_3961565,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_3961566,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_3961571,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_4154913,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_10,MARCO_4201972,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,MARCO_4389368,0,t5,gpt-4o-2024-08-06
101_10,MARCO_4672943,0,quretec,gpt-4o-2024-08-06
101_10,MARCO_4672947,0,quretec,gpt-4o-2024-08-06
101_10,MARCO_577818,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_6167612,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_684870,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_71874,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_10,MARCO_7776881,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_10,MARCO_8104253,0,raw,gpt-4o-2024-08-06
101_10,MARCO_8108543,0,gpt-4o-mini,gpt-4o-2024-08-06
101_10,MARCO_8213108,0,raw,gpt-4o-2024-08-06
101_10,MARCO_8273143,0,raw,gpt-4o-2024-08-06
101_2,CAR_21d36335b57b4077408044663f9b6f283f374c8a,0,raw,gpt-4o-2024-08-06
101_2,CAR_410fac5e943cdc13af7047aa6647609ee9c5bcbe,0,raw,gpt-4o-2024-08-06
101_2,CAR_46341766f3d1cfda2527c1ab2f8074f2eace01ca,0,raw,gpt-4o-2024-08-06
101_2,CAR_65b06f79441356690638f1d6714c343e36dd4399,0,raw,gpt-4o-2024-08-06
101_2,CAR_7f1c9c6a97d15cb56cfbc3f2607df961cb3b7fa3,0,raw,gpt-4o-2024-08-06
101_2,CAR_a1fc128e462d658fa908c896241d0613896810b7,0,raw,gpt-4o-2024-08-06
101_2,CAR_a79c2175bd32076a7a6b53002b33fbb9b20c75bd,0,raw,gpt-4o-2024-08-06
101_2,CAR_b1a8a4a1b010b3b565049ecb36a54dd7b0a293ea,0,raw,gpt-4o-2024-08-06
101_2,CAR_b4d4b6bf979a1442a82ad78dade1cb2699c18f22,0,raw,gpt-4o-2024-08-06
101_2,CAR_fae59e2aa0bb1f667fb2c8c911bfdd31c9fe71b8,0,raw,gpt-4o-2024-08-06
101_2,MARCO_3678201,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_2,MARCO_377728,1,gpt-4o-mini,gpt-4o-2024-08-06
101_2,MARCO_4463097,3,gpt-4o-mini,gpt-4o-2024-08-06
101_2,MARCO_6139009,1,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
101_3,CAR_3fb0088c95bd486ee41bbc0cafdca43a32a71d1d,0,raw,gpt-4o-2024-08-06
101_3,CAR_4bd3c6623aed0feff3dafd6e6f471c49a3667b6d,0,raw,gpt-4o-2024-08-06
101_3,CAR_7fba2e55410fe1703832e3d9fb3647ddfebe692e,0,raw,gpt-4o-2024-08-06
101_3,CAR_a1b6d06945d04526d3426f4c8350ebdf6d86870a,0,raw,gpt-4o-2024-08-06
101_3,CAR_cad5b81d9896286d561650acccfaeb6b774e2d05,0,raw,gpt-4o-2024-08-06
101_3,CAR_e9a4011f2cff305da7eb49f885a5be4dd308f439,0,raw,gpt-4o-2024-08-06
101_3,MARCO_1109650,4,gpt-4o-mini,gpt-4o-2024-08-06
101_3,MARCO_3971924,0,gpt-4o-mini,gpt-4o-2024-08-06
101_3,MARCO_5647063,0,raw,gpt-4o-2024-08-06
101_3,MARCO_6923108,0,raw,gpt-4o-2024-08-06
101_3,MARCO_7732099,0,quretec,gpt-4o-2024-08-06
101_3,MARCO_819363,0,raw,gpt-4o-2024-08-06
101_3,MARCO_8388553,0,raw,gpt-4o-2024-08-06
101_4,CAR_0d5e61e1f4f7f1aca74afa2c5ee8cb132f6a185b,0,raw,gpt-4o-2024-08-06
101_4,CAR_42bf6f84294c33439c56a58690e159ecc09aadfa,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,CAR_c6fc28560fc94b7d98c8057d7e097dd4373e0817,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,CAR_ca1910f363d47aa16385601f0c97e8519575a3c5,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,CAR_d636ab8376391b5a6acef0e0480672dd3b71d761,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,CAR_f1afa372634ddf57edca59e92c4aa0ed630544ef,0,raw,gpt-4o-2024-08-06
101_4,MARCO_1559255,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,MARCO_1753958,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_4,MARCO_1858134,3,quretec|t5,gpt-4o-2024-08-06
101_4,MARCO_2336305,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,MARCO_2513148,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_4,MARCO_2894792,0,raw,gpt-4o-2024-08-06
101_4,MARCO_3013498,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,MARCO_3111197,0,raw,gpt-4o-2024-08-06
101_4,MARCO_3782199,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_4,MARCO_4260862,0,raw,gpt-4o-2024-08-06
101_4,MARCO_4379081,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_4,MARCO_5130654,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_4,MARCO_5627251,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,MARCO_6344488,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_4,MARCO_6414587,0,raw,gpt-4o-2024-08-06
101_4,MARCO_6603287,0,raw,gpt-4o-2024-08-06
101_4,MARCO_685916,0,raw,gpt-4o-2024-08-06
101_4,MARCO_7171190,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,MARCO_7337202,0,gpt-4o-mini,gpt-4o-2024-08-06
101_4,MARCO_789994,0,raw,gpt-4o-2024-08-06
101_4,MARCO_8605690,0,raw,gpt-4o-2024-08-06
101_5,CAR_36309c6c5e3927a534b894157f12bebec33bbb4f,0,gpt-4o-mini,gpt-4o-2024-08-06
101_5,CAR_b1bf0fa311cc8bde77e948d3438218592e43b1b6,0,gpt-4o-mini|llama-3.1-8b-instant|raw,gpt-4o-2024-08-06
101_5,MARCO_2259585,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_6,CAR_02c57f414a77d027ef3cef9c8df2c7dc7ef28e50,0,raw,gpt-4o-2024-08-06
101_6,CAR_0daf94383d4e41409d1211a7e590d1375b787950,0,raw,gpt-4o-2024-08-06
101_6,CAR_172adbd66bf483602c36574bd748e7e9abb8ded5,0,raw,gpt-4o-2024-08-06
101_6,CAR_28a1654296252093d212b292676311eeb71eaf9a,0,raw,gpt-4o-2024-08-06
101_6,CAR_5b3a8fe083b0e6d6fc100da4e1111e3e17099285,0,raw,gpt-4o-2024-08-06
101_6,CAR_73980d03607558a5fba57a9282b30d44ecf7b0ef,3,raw,gpt-4o-2024-08-06
101_6,CAR_9a962a9f16606bce7a380d898ccfd65821282003,0,raw,gpt-4o-2024-08-06
101_6,CAR_bd218c6a4ea94fa227fa138f05ea6517a9483f30,0,raw,gpt-4o-2024-08-06
101_6,CAR_d85e8b7d9d6535eeffd93b1bbb64de009af85979,1,raw,gpt-4o-2024-08-06
101_6,MARCO_2347465,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_6,MARCO_5530395,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_6,MARCO_6318907,0,gpt-4o|human|t5,gpt-4o-2024-08-06
101_6,MARCO_71883,3,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_6,MARCO_8181200,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_6,MARCO_8762278,3,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_7,CAR_14c0177ba0fe0b4fbf2f0d459593d98d0996e791,0,raw,gpt-4o-2024-08-06
101_7,CAR_25cf13684eb170dbeb832e7687d5f35575805f6d,0,raw,gpt-4o-2024-08-06
101_7,CAR_5fab68db87f5181396ee5843bfe949a0556d5c60,0,gpt-4o,gpt-4o-2024-08-06
101_7,CAR_7a41a965cddb4a8bffdad3813b3d72aae58db547,0,raw,gpt-4o-2024-08-06
101_7,CAR_8c60722e9ce5fa8f05dc37f0e7507644fece2033,0,human,gpt-4o-2024-08-06
101_7,CAR_960bb7cbe6755e77334d6ef9b2fe544a2c71c0f0,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_7,CAR_c266f1b3ac43de84dddbfa0ac7f9fe3c80f2779a,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_7,CAR_f45344a9d4b03ec4541431ec98d0d28d78e4a5fb,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_7,CAR_ff2f37d3d06a9f28e8ef975b77448c7480da2e98,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_7,MARCO_146202,0,raw,gpt-4o-2024-08-06
101_7,MARCO_146204,0,raw,gpt-4o-2024-08-06
101_7,MARCO_2335562,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_7,MARCO_2739645,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_7,MARCO_3041712,0,gpt-4o,gpt-4o-2024-08-06
101_7,MARCO_3319567,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_7,MARCO_3352077,1,gpt-4o-mini,gpt-4o-2024-08-06
101_7,MARCO_3453748,0,raw,gpt-4o-2024-08-06
101_7,MARCO_4034864,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_7,MARCO_4854475,0,human,gpt-4o-2024-08-06
101_7,MARCO_4854477,0,human,gpt-4o-2024-08-06
101_7,MARCO_5320300,1,gpt-4o,gpt-4o-2024-08-06
101_7,MARCO_5540892,0,quretec,gpt-4o-2024-08-06
101_7,MARCO_5575448,0,raw,gpt-4o-2024-08-06
101_7,MARCO_8509200,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_8,CAR_7ad9ba36f30701581c477cc792fa215fe7622ded,0,raw,gpt-4o-2024-08-06
101_8,CAR_c752c18a1ea1190667148d0771c59c67365a87d9,0,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
101_8,MARCO_1191996,0,human,gpt-4o-2024-08-06
101_8,MARCO_122807,0,raw,gpt-4o-2024-08-06
101_8,MARCO_2804984,0,quretec,gpt-4o-2024-08-06
101_8,MARCO_3457832,0,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_8,MARCO_3457833,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_8,MARCO_4316251,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_8,MARCO_4956887,0,quretec,gpt-4o-2024-08-06
101_8,MARCO_7624747,0,raw,gpt-4o-2024-08-06
101_8,MARCO_8121878,0,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_8,MARCO_825245,0,quretec,gpt-4o-2024-08-06
101_8,MARCO_8491337,0,raw,gpt-4o-2024-08-06
101_8,MARCO_8652406,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
101_9,CAR_48ebd1a2377eecb422e2778c194f5973bfe8dbfa,0,raw,gpt-4o-2024-08-06
101_9,CAR_cdf8853addaa8bc945a08429d05c286250b8ce70,0,t5,gpt-4o-2024-08-06
101_9,CAR_ce63a97e0da2630505093f4c995c7e644ce745c5,0,raw,gpt-4o-2024-08-06
101_9,MARCO_1167312,0,human,gpt-4o-2024-08-06
101_9,MARCO_1167318,0,gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_9,MARCO_1539486,0,t5,gpt-4o-2024-08-06
101_9,MARCO_1906237,0,gpt-4o-mini,gpt-4o-2024-08-06
101_9,MARCO_2068144,0,raw,gpt-4o-2024-08-06
101_9,MARCO_2540029,0,t5,gpt-4o-2024-08-06
101_9,MARCO_3500665,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_9,MARCO_4079001,0,t5,gpt-4o-2024-08-06
101_9,MARCO_4316250,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_9,MARCO_4316254,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_9,MARCO_4389367,0,human,gpt-4o-2024-08-06
101_9,MARCO_6139009,0,t5,gpt-4o-2024-08-06
101_9,MARCO_6861670,0,raw,gpt-4o-2024-08-06
101_9,MARCO_7411708,0,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_9,MARCO_8224767,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
101_9,MARCO_825241,0,t5,gpt-4o-2024-08-06
101_9,MARCO_825243,0,t5,gpt-4o-2024-08-06
101_9,MARCO_876682,0,gpt-4o-mini,gpt-4o-2024-08-06
102_1,CAR_495f864edc91a33d731b7fd9842e51e09113e9b1,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
102_1,CAR_690847e304ec05e41ca6fcd7cf13f0f16a4cec8e,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,CAR_f759d73655a7684aa1adeb7ab3417ec1afb4567c,0,gpt-4o|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
102_1,MARCO_1076592,0,gpt-4o-mini,gpt-4o-2024-08-06
102_1,MARCO_1085577,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_1702426,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_2819636,1,gpt-4o-mini,gpt-4o-2024-08-06
102_1,MARCO_2962390,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_3894867,0,gpt-4o-mini,gpt-4o-2024-08-06
102_1,MARCO_5518039,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_5642989,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_675899,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_7407676,0,gpt-4o-mini,gpt-4o-2024-08-06
102_1,MARCO_7544446,3,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
102_1,MARCO_771608,0,gpt-4o-mini,gpt-4o-2024-08-06
102_1,MARCO_7719504,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
102_1,MARCO_8194013,0,gpt-4o-mini,gpt-4o-2024-08-06
102_1,MARCO_8535672,2,quretec|raw|t5,gpt-4o-2024-08-06
102_2,CAR_34c385f7eeee934a9ff19cc869979a594416c245,1,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
102_2,CAR_4261b3219aad594043d7188c0a211f8adb8ddd24,2,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
102_2,CAR_8fcf6d20bdfda2956827ad737569bb0b80a50e28,0,gpt-4o-mini,gpt-4o-2024-08-06
