qid,docid,llm_grade,systems,model
31_6,MARCO_8168662,4,human|quretec|raw|t5,gpt-4o-2024-08-06
31_7,CAR_bbb2e23a6303d962c9d80854da5f442f6d3e0a85,0,raw,gpt-4o-2024-08-06
31_7,MARCO_1048512,0,raw,gpt-4o-2024-08-06
31_7,MARCO_1893295,0,raw,gpt-4o-2024-08-06
31_7,MARCO_3492267,0,raw,gpt-4o-2024-08-06
31_7,MARCO_4889172,0,raw,gpt-4o-2024-08-06
31_7,MARCO_5375220,0,raw,gpt-4o-2024-08-06
31_7,MARCO_6766557,0,raw,gpt-4o-2024-08-06
31_7,MARCO_7364332,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_7,MARCO_8691522,0,raw,gpt-4o-2024-08-06
31_7,MARCO_994134,0,raw,gpt-4o-2024-08-06
31_7,MARCO_994137,0,raw,gpt-4o-2024-08-06
31_9,MARCO_1171208,0,quretec,gpt-4o-2024-08-06
31_9,MARCO_2319002,0,raw,gpt-4o-2024-08-06
31_9,MARCO_2319005,0,raw,gpt-4o-2024-08-06
31_9,MARCO_2700408,0,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
31_9,MARCO_3368656,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_9,MARCO_3368661,0,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
31_9,MARCO_580156,0,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
31_9,MARCO_6266466,0,gpt-4o|gpt-4o-mini|human|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_9,MARCO_8025747,0,quretec,gpt-4o-2024-08-06
31_9,MARCO_8752235,0,raw,gpt-4o-2024-08-06
32_1,CAR_73429ba62bbbaebd2330e6d3c31993352448c5b0,1,gpt-4o,gpt-4o-2024-08-06
32_1,CAR_e6750ce2cc4613d58e186e44ec7b345b987746d2,2,gpt-4o,gpt-4o-2024-08-06
32_1,MARCO_1035928,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_1,MARCO_13257,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_1,MARCO_1864980,2,gpt-4o-mini,gpt-4o-2024-08-06
32_1,MARCO_1950876,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_1,MARCO_2174680,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_1,MARCO_2670731,1,gpt-4o-mini,gpt-4o-2024-08-06
32_1,MARCO_3103883,4,gpt-4o,gpt-4o-2024-08-06
32_1,MARCO_3168911,1,gpt-4o,gpt-4o-2024-08-06
32_1,MARCO_3522821,2,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_1,MARCO_3855670,1,gpt-4o,gpt-4o-2024-08-06
32_1,MARCO_5365946,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_1,MARCO_5798987,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_1,MARCO_5808004,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_1,MARCO_673365,1,gpt-4o,gpt-4o-2024-08-06
32_1,MARCO_706243,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_1,MARCO_7934960,1,gpt-4o,gpt-4o-2024-08-06
32_1,MARCO_8148087,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_10,CAR_5bea377a08ccf75795b193ee7e579e893118ffbc,0,llama-3.1-8b-instant|t5,gpt-4o-2024-08-06
32_10,CAR_8f01dff20275ee77676575111e45d4764e77c08b,0,gpt-4o-mini,gpt-4o-2024-08-06
32_10,CAR_cc80faad45e752d742af4e6a8300758c093833c7,0,gpt-4o-mini,gpt-4o-2024-08-06
32_10,MARCO_1626966,0,raw,gpt-4o-2024-08-06
32_10,MARCO_3507052,0,gpt-4o-mini,gpt-4o-2024-08-06
32_10,MARCO_4165357,0,llama-3.1-8b-instant|t5,gpt-4o-2024-08-06
32_10,MARCO_4573097,0,raw,gpt-4o-2024-08-06
32_10,MARCO_481358,0,raw,gpt-4o-2024-08-06
32_10,MARCO_5924966,0,raw,gpt-4o-2024-08-06
32_10,MARCO_7070950,0,raw,gpt-4o-2024-08-06
32_10,MARCO_7648518,0,raw,gpt-4o-2024-08-06
32_10,MARCO_826593,0,raw,gpt-4o-2024-08-06
32_10,MARCO_8490122,0,raw,gpt-4o-2024-08-06
32_11,CAR_8cd20238823317244a80ea7136fa3d01fb63cf73,1,gpt-4o|human,gpt-4o-2024-08-06
32_11,CAR_db1224c0e19eac74434f216cfa665e7fa8aff3a1,0,t5,gpt-4o-2024-08-06
32_11,MARCO_2174102,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_11,MARCO_2861205,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_11,MARCO_3168914,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_11,MARCO_55137,1,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
32_11,MARCO_7447413,0,raw,gpt-4o-2024-08-06
32_11,MARCO_802985,1,gpt-4o-mini,gpt-4o-2024-08-06
32_2,CAR_4776804b0d5a65f607f997748348b04b2ce0fffe,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_2,CAR_c2902b585b0f0f17bfa3398d0d8628b3caf00da0,3,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
32_2,CAR_eaf2a0c067496fc8c6a043f4277d92d21708173d,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_2,CAR_ec41eeeb269a29dfcced8de4f0622628be32dad6,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_3,CAR_47b457ec3e6a66d2b4f8f4ac9df9be8c81ec9755,3,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_3,CAR_ee3a42fe520475efaf2c60b0f753f566862a5137,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_3,MARCO_1860731,3,gpt-4o-mini,gpt-4o-2024-08-06
32_3,MARCO_4785917,0,gpt-4o,gpt-4o-2024-08-06
32_3,MARCO_6226371,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_3,MARCO_6226376,3,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_4,MARCO_1029958,1,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_4,MARCO_1992411,0,raw,gpt-4o-2024-08-06
32_4,MARCO_2180412,4,human|quretec|t5,gpt-4o-2024-08-06
32_4,MARCO_3559468,4,human|quretec|t5,gpt-4o-2024-08-06
32_4,MARCO_5176546,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_4,MARCO_8694443,4,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_5,MARCO_2174110,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_5,MARCO_233300,1,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|quretec|t5,gpt-4o-2024-08-06
32_5,MARCO_3442994,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_5,MARCO_4345450,0,raw,gpt-4o-2024-08-06
32_5,MARCO_4699879,0,raw,gpt-4o-2024-08-06
32_5,MARCO_4879596,0,raw,gpt-4o-2024-08-06
32_6,CAR_419eb8aa51e8c49a140b64042812358853135c21,2,gpt-4o-mini,gpt-4o-2024-08-06
32_6,CAR_72929b7dca6901830de24760f6d37c41edfd823a,4,gpt-4o,gpt-4o-2024-08-06
32_6,CAR_75622c3672ea66af9645291fb82bbd5ee9c04aee,1,human|raw|t5,gpt-4o-2024-08-06
32_6,CAR_f08d7c16a8ad4617b366dedc452bdb7e4872f07b,2,gpt-4o-mini,gpt-4o-2024-08-06
32_6,CAR_f50ff212af9dd84459708b5f23aa3bb1a651ab9c,0,human|raw|t5,gpt-4o-2024-08-06
32_6,MARCO_1029958,3,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
32_6,MARCO_1534686,3,gpt-4o,gpt-4o-2024-08-06
32_6,MARCO_1534687,4,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_6,MARCO_2174110,4,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_6,MARCO_233300,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_6,MARCO_233301,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_6,MARCO_233305,3,gpt-4o,gpt-4o-2024-08-06
32_6,MARCO_3168910,1,human|raw|t5,gpt-4o-2024-08-06
32_6,MARCO_4395524,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_6,MARCO_4702287,3,gpt-4o,gpt-4o-2024-08-06
32_6,MARCO_7869798,4,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_6,MARCO_7887429,1,gpt-4o-mini,gpt-4o-2024-08-06
32_6,MARCO_871705,1,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
32_7,MARCO_8829140,3,gpt-4o|human|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
32_8,CAR_6f01ab5687707036c5f2d514ce21662c81399a37,2,gpt-4o|human|llama-3.3-70b-versatile|quretec,gpt-4o-2024-08-06
32_8,CAR_9e54e334499cc9fc12a5ec09a9bd1fb6b49c3801,1,llama-3.1-8b-instant|t5,gpt-4o-2024-08-06
32_8,MARCO_2165028,0,raw,gpt-4o-2024-08-06
32_8,MARCO_2567544,0,raw,gpt-4o-2024-08-06
32_8,MARCO_302709,0,raw,gpt-4o-2024-08-06
32_8,MARCO_3308282,1,gpt-4o-mini,gpt-4o-2024-08-06
32_8,MARCO_4208568,0,raw,gpt-4o-2024-08-06
32_8,MARCO_4272779,0,raw,gpt-4o-2024-08-06
32_9,CAR_0fa8586bae6ef4652a61c14b70246a2c3d5aa62a,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,CAR_246ce75b04d0f77e32cbeed89d9cfd2f7f604e90,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,CAR_469dcedd07d81fc1257d356e0ca23f7fe33e9eb4,0,quretec|t5,gpt-4o-2024-08-06
32_9,CAR_57cad1a78ff6761ee830fd45ea056679ff067a08,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,CAR_6a1e6aaa6c2ae1ca28897152f36281c6c445206b,0,t5,gpt-4o-2024-08-06
32_9,CAR_6d1e16e443f80b1b47d5efc4ad244808081b1e22,0,t5,gpt-4o-2024-08-06
32_9,CAR_6dc606eefbe4cd7350a86cf908a809c1d4e682ec,0,gpt-4o-mini,gpt-4o-2024-08-06
32_9,CAR_7181508c5b3c62b7c4074cda78c62b6758a6f17a,0,gpt-4o-mini,gpt-4o-2024-08-06
32_9,CAR_96d17f767cf995b1b7b8299dfa7fca3b36d0360f,0,t5,gpt-4o-2024-08-06
32_9,CAR_98a27a7f43d75127966c3771c901dbf73927b6e5,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,CAR_bae115e83502b6a4e0253b441307d4d1745e7632,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,CAR_bf20fbc62357fdc53619d7fd29096a7c10c44a05,0,t5,gpt-4o-2024-08-06
32_9,CAR_eed0ba48cc6ae57c58d0d6eef250a8a8b30affbe,0,t5,gpt-4o-2024-08-06
32_9,CAR_eff777876b2ec0739828d54e1ddb1391375965ce,0,gpt-4o-mini,gpt-4o-2024-08-06
32_9,CAR_f3729e8a44ccc86b2db1eac1cab3b0a3b6a7ed3a,0,t5,gpt-4o-2024-08-06
32_9,CAR_f8e8a3b6e0f7cd95af1a051cf41a27ccafb07ad3,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,CAR_f8f3f320901b77d57cebf356cf3ad4db31918fe4,0,gpt-4o-mini,gpt-4o-2024-08-06
32_9,MARCO_1392581,0,gpt-4o-mini,gpt-4o-2024-08-06
32_9,MARCO_1474378,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,MARCO_1510436,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,MARCO_3004799,0,raw,gpt-4o-2024-08-06
32_9,MARCO_3259236,0,raw,gpt-4o-2024-08-06
32_9,MARCO_3471156,0,raw,gpt-4o-2024-08-06
32_9,MARCO_4594732,0,gpt-4o-mini,gpt-4o-2024-08-06
32_9,MARCO_4620063,0,raw,gpt-4o-2024-08-06
32_9,MARCO_4660028,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,MARCO_5175114,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
32_9,MARCO_5195587,0,raw,gpt-4o-2024-08-06
32_9,MARCO_5680955,0,human,gpt-4o-2024-08-06
32_9,MARCO_5680956,0,human,gpt-4o-2024-08-06
32_9,MARCO_5745784,1,gpt-4o-mini,gpt-4o-2024-08-06
32_9,MARCO_688349,0,gpt-4o,gpt-4o-2024-08-06
32_9,MARCO_8200185,0,raw,gpt-4o-2024-08-06
32_9,MARCO_8377662,0,raw,gpt-4o-2024-08-06
33_1,CAR_513fb14b0a48d29802d02997c1bb6b074e785bd8,0,gpt-4o-mini,gpt-4o-2024-08-06
33_1,CAR_c1380cd0071b65975527daf063f2d4f8dcabfe32,0,gpt-4o-mini,gpt-4o-2024-08-06
33_10,CAR_6a958ecb95b928b8255f3edcdb1443a4e4fa3208,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
33_10,CAR_7f6b9531e07e3f2f5338fb8f4215de37ead896ea,0,gpt-4o-mini,gpt-4o-2024-08-06
33_10,MARCO_7273395,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
33_2,CAR_61b973a75767b7193bb28e227870f189d380e47b,0,raw,gpt-4o-2024-08-06
33_2,CAR_cfc3abeb06a1503efa4069fb4116e74102924ab5,0,raw,gpt-4o-2024-08-06
33_2,CAR_e172e5ac68ee1cdae27005447c04424c0529aeba,0,raw,gpt-4o-2024-08-06
33_2,CAR_f366faf9677b9879f32ddfaf40790ce53cdbbd78,0,raw,gpt-4o-2024-08-06
33_2,MARCO_2189489,0,raw,gpt-4o-2024-08-06
33_2,MARCO_2678967,0,raw,gpt-4o-2024-08-06
33_2,MARCO_4311322,0,raw,gpt-4o-2024-08-06
33_2,MARCO_4582915,0,raw,gpt-4o-2024-08-06
33_2,MARCO_569443,0,raw,gpt-4o-2024-08-06
33_2,MARCO_7290697,0,raw,gpt-4o-2024-08-06
33_3,CAR_26aa0b7d28a6df13c5cd3483e03810b1fe93a8ac,0,raw,gpt-4o-2024-08-06
33_3,CAR_5844341ee5b1d0aeef830d4c350e089e1278794b,0,raw,gpt-4o-2024-08-06
33_3,CAR_6d130a1cb7d43ba2c060252808621e8c31ada755,0,raw,gpt-4o-2024-08-06
33_3,CAR_a984d125a0aac96a4c3fda8ab6afe62c1833d93b,0,human|t5,gpt-4o-2024-08-06
33_3,CAR_ddd7658a8e6b91aea3e710549146bd9acda4d897,3,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_3,CAR_f2e1c4ab84da11807f28f5fd554fdd61e62a76b9,0,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_3,CAR_fd5fe770ce935028f666889f6b89af25533f5c10,4,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_3,MARCO_2111869,0,raw,gpt-4o-2024-08-06
33_3,MARCO_2313307,0,raw,gpt-4o-2024-08-06
33_3,MARCO_3860358,0,raw,gpt-4o-2024-08-06
33_3,MARCO_6843788,0,raw,gpt-4o-2024-08-06
33_3,MARCO_6864321,0,raw,gpt-4o-2024-08-06
33_3,MARCO_7206788,0,raw,gpt-4o-2024-08-06
33_3,MARCO_7359663,0,raw,gpt-4o-2024-08-06
33_4,CAR_0f7764f5cce6da9979f2a7ff4e82daf4aa223d3d,2,gpt-4o|human|llama-3.3-70b-versatile|quretec|raw|t5,gpt-4o-2024-08-06
33_4,CAR_25c5cda13d504f7c69131198bd307ea1afe57f30,4,raw,gpt-4o-2024-08-06
33_4,CAR_7b9fc7621a0d860c3c57e13bcfb3b569ebba8c5d,0,raw,gpt-4o-2024-08-06
33_4,CAR_b87ea1a64a8a53cfcbc9c7fa115dca738b8567b0,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_4,CAR_dcf2cfd8101ed2ba2def09c6e58283b23fc631d1,0,raw,gpt-4o-2024-08-06
33_5,CAR_02d7b6769ec53dc6903f37756c1281de59c317eb,0,raw,gpt-4o-2024-08-06
33_5,CAR_26808bc2e958226a37bcec888c8f274da43d846c,0,raw,gpt-4o-2024-08-06
33_5,CAR_6b23e9006f5a50931cc95d824442b5dd6f267c07,0,raw,gpt-4o-2024-08-06
33_5,CAR_735c0f5b4c823a526803eaa6effd5b0c21803e42,0,raw,gpt-4o-2024-08-06
33_5,CAR_8ac95dc57e376fe55c1b5a15341219e5a9987fe2,0,raw,gpt-4o-2024-08-06
33_5,CAR_a3f312f4a569148bf78b8e8dd8a71181b6d67de4,3,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_5,CAR_af1e59de9b61ad8b1f810c7e54f15314266ecd4e,0,raw,gpt-4o-2024-08-06
33_5,CAR_d616460b33eb33c25e431fdefbf2dff1aa89cc23,0,gpt-4o,gpt-4o-2024-08-06
33_5,CAR_eadf539ef3a4f3bde4c39e693ccd6e4d29707eb9,0,raw,gpt-4o-2024-08-06
33_5,MARCO_3620295,0,raw,gpt-4o-2024-08-06
33_5,MARCO_6655003,0,raw,gpt-4o-2024-08-06
33_5,MARCO_7272232,0,raw,gpt-4o-2024-08-06
33_6,CAR_083301581fc98f15aed743d727d2912f29ca6f28,0,raw,gpt-4o-2024-08-06
33_6,CAR_15d8168f52d2fb87d9f38ec0862ea6de6e21d6a0,0,raw,gpt-4o-2024-08-06
33_6,CAR_5c8fc420695521d87313a549bd57d4a930dab026,0,raw,gpt-4o-2024-08-06
33_6,CAR_72ad0c18a5eef16e046813ec9438438d0edc77bd,0,raw,gpt-4o-2024-08-06
33_6,CAR_870c7c6de9ac35f669c762c5f68d39bed77fa618,0,raw,gpt-4o-2024-08-06
33_6,CAR_a984d125a0aac96a4c3fda8ab6afe62c1833d93b,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
33_6,CAR_aff340685fb7c065fdc503885aa1e269633198a6,0,raw,gpt-4o-2024-08-06
33_6,CAR_b363c147860bf5b97e7828c12d39b22e13dc187f,0,raw,gpt-4o-2024-08-06
33_6,CAR_bdaafed1d7c12c86544cfc7154b403bead4b6071,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
33_6,CAR_d616460b33eb33c25e431fdefbf2dff1aa89cc23,1,human|llama-3.3-70b-versatile|quretec|t5,gpt-4o-2024-08-06
33_6,MARCO_4110413,0,raw,gpt-4o-2024-08-06
33_6,MARCO_5313158,0,raw,gpt-4o-2024-08-06
33_7,CAR_164840142f04b5a351d960b69d13235577bfbc36,0,gpt-4o|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
33_7,CAR_4c8e37189c3aa8fa5b03c941035703424fc97ff4,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
33_7,CAR_62fcd66ed7a9c4ce1fc1155794d9df2714e667d4,0,gpt-4o-mini,gpt-4o-2024-08-06
33_7,CAR_64c3660fda882bad887e297b60a481680bc21aa1,0,raw,gpt-4o-2024-08-06
33_7,CAR_6e02fae519696081a8e06ff695eaba3f98a011a0,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
33_7,CAR_a3c450db21047aaba1506f335c3a37873d15c46e,0,gpt-4o-mini,gpt-4o-2024-08-06
33_7,CAR_a3f312f4a569148bf78b8e8dd8a71181b6d67de4,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
33_7,CAR_d47dea8f4012093a4ddbd2aebe86ab1fd0fca448,1,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_7,CAR_ec072262cd202d60fe3fd8036b08546e192da63b,0,raw,gpt-4o-2024-08-06
33_7,CAR_f3bb4e345bce52bd3ffed6a2824c166876415ac4,1,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
33_7,MARCO_445485,0,raw,gpt-4o-2024-08-06
33_7,MARCO_445489,0,raw,gpt-4o-2024-08-06
33_8,CAR_8633e255f872d1cb165c13dec1d9864ee6132885,0,raw,gpt-4o-2024-08-06
33_8,CAR_a81ab01cd7f9ce7f9221f709c07b27256dd9afea,0,raw,gpt-4o-2024-08-06
33_8,MARCO_2108048,0,raw,gpt-4o-2024-08-06
33_8,MARCO_2669713,0,raw,gpt-4o-2024-08-06
33_9,CAR_a3f312f4a569148bf78b8e8dd8a71181b6d67de4,2,gpt-4o,gpt-4o-2024-08-06
33_9,CAR_f92cf71d2796a963a08edb701bc32943b75b1cb3,0,raw,gpt-4o-2024-08-06
